"logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl","ensembl_clean","symbol"
-2.14670388591646,3.39677913779818,-53.2190721067623,0,0,770.010138127712,"ENSMUSG00000019158.9","ENSMUSG00000019158","Tmem160"
-1.79436263639523,4.55669998466986,-52.2826496404517,0,0,753.412082690302,"ENSMUSG00000002580.7","ENSMUSG00000002580","Mien1"
-1.61812918121093,3.8139635709642,-51.9077107667193,0,0,746.675521415758,"ENSMUSG00000032583.7","ENSMUSG00000032583","Mon1a"
-1.84379259372482,3.84729090035585,-51.7738346784246,0,0,744.283246886787,"ENSMUSG00000039680.10","ENSMUSG00000039680","Mrps6"
-1.80281339824329,3.26127768321985,-51.4860456985698,0,0,739.064277545427,"ENSMUSG00000084835.1","ENSMUSG00000084835",NA
-1.68852130751288,5.5168619874377,-51.0149956601179,1.97626258336499e-323,6.2850090807465e-320,730.689741095017,"ENSMUSG00000062963.10","ENSMUSG00000062963","Ufc1"
-1.85890904435789,2.08491707883475,-50.0821405536492,5.10362499982449e-316,1.39117526602571e-312,713.534079220882,"ENSMUSG00000116930.1","ENSMUSG00000116930",NA
-1.6411504546564,5.1317542461543,-50.0087109341639,1.9294842701531e-315,4.60206116985139e-312,712.526864720956,"ENSMUSG00000038803.7","ENSMUSG00000038803","Ost4"
-1.9419127022813,2.97060680680903,-49.9028265619705,1.31428733056695e-314,2.78643517272754e-311,710.502546220453,"ENSMUSG00000037827.5","ENSMUSG00000037827",NA
-1.40078214709171,5.68783574960801,-49.8896809333446,1.66791070002286e-314,3.18254040671361e-311,710.371229302976,"ENSMUSG00000009549.14","ENSMUSG00000009549","Srp14"
-1.56843711761323,3.52153000079576,-49.4312675320732,6.84631498201087e-311,1.18758669247045e-307,702.016257650849,"ENSMUSG00000032519.11","ENSMUSG00000032519","Slc25a38"
-1.91419344045188,3.30493331327619,-49.4005567573407,1.19631268400338e-310,1.90223686028903e-307,701.443206032753,"ENSMUSG00000007837.11","ENSMUSG00000007837","Prrg2"
-2.1324793209289,2.75921838328737,-49.3418136353574,3.48010176617366e-310,5.10798629233535e-307,700.308841618226,"ENSMUSG00000045980.13","ENSMUSG00000045980","Tmem104"
-0.87207479816409,5.23517876886256,-49.2176779563142,3.3270531927471e-309,4.53453585505768e-306,698.177845764232,"ENSMUSG00000032513.8","ENSMUSG00000032513","Gorasp1"
-1.41973911164647,3.95238032881042,-48.8409680515972,3.17247721735154e-306,4.03560251895232e-303,691.310960088054,"ENSMUSG00000032123.5","ENSMUSG00000032123","Dpagt1"
3.46987756383565,6.28038227036111,48.824538663996,4.2802588630956e-306,5.10447621042045e-303,690.990476548095,"ENSMUSG00000026355.11","ENSMUSG00000026355","Mcm6"
-1.08975004509251,7.18250662953443,-48.2118360216469,3.09107742171266e-301,3.2767137985089e-298,679.84548993885,"ENSMUSG00000078812.10","ENSMUSG00000078812","Eif5a"
-1.91334217495522,3.02213354921589,-48.1972398041406,4.03683106232059e-301,4.05404071668274e-298,679.503528602313,"ENSMUSG00000112652.1","ENSMUSG00000112652",NA
-3.83876525550611,-0.92354653707994,-48.247634785079,1.60625201289894e-301,1.80287615909484e-298,678.328644280684,"ENSMUSG00000026691.10","ENSMUSG00000026691","Fmo3"
2.36635831320135,7.66091413379238,47.9763278028666,2.29970601406054e-299,2.1940345226853e-296,675.539473987377,"ENSMUSG00000019961.17","ENSMUSG00000019961","Tmpo"
-1.48098434781712,5.10020986639699,-47.6119058866211,1.82810168815028e-296,1.66104801483789e-293,668.866248855599,"ENSMUSG00000002064.10","ENSMUSG00000002064","Sdf2"
-2.26356480596296,3.46229325067525,-47.4943173807786,1.58107495412125e-295,1.37129505452671e-292,666.688902741391,"ENSMUSG00000053334.6","ENSMUSG00000053334","Ficd"
-0.900198762184254,3.89549526684328,-47.4454494788141,3.87695606692575e-295,3.21635646578305e-292,665.803292751909,"ENSMUSG00000051256.10","ENSMUSG00000051256","Jagn1"
-1.19137387328134,6.16427761592145,-47.3804114343392,1.27957899922697e-294,1.01731862017707e-291,664.618157679496,"ENSMUSG00000030835.6","ENSMUSG00000030835","Nomo1"
-2.02037438939039,2.73130245649692,-47.2120671860647,2.81899329977915e-293,2.15156844612344e-290,661.437394384936,"ENSMUSG00000105415.1","ENSMUSG00000105415",NA
-1.39335936202491,4.54419927394308,-47.1380526009714,1.09877937550285e-292,8.06377279383457e-290,660.174780605679,"ENSMUSG00000031156.18","ENSMUSG00000031156","Slc35a2"
-4.1032665202819,0.35681742345159,-46.9763060860009,2.15156448029058e-291,1.52051858697869e-288,656.323074203005,"ENSMUSG00000030559.8","ENSMUSG00000030559","Rab38"
-1.07368219495948,4.76877268723838,-46.9240845767293,5.62402138816199e-291,3.83256971812567e-288,656.242028709513,"ENSMUSG00000015790.16","ENSMUSG00000015790","Surf1"
-1.11638991914498,4.4659966481671,-46.8649065978204,1.67127999360443e-290,1.09964460544711e-287,655.154833238302,"ENSMUSG00000045503.16","ENSMUSG00000045503","Sys1"
-1.55732720699193,4.50847149009254,-46.8204258935323,3.79020619206905e-290,2.41069747836232e-287,654.336569662698,"ENSMUSG00000025825.12","ENSMUSG00000025825","Iscu"
-1.15969260838837,3.24459089498791,-46.7782911197203,8.2335703659922e-290,5.06789535979023e-287,653.509294506757,"ENSMUSG00000101503.1","ENSMUSG00000101503","Gm28364"
-1.30952845033216,4.06042755188019,-46.7006008654012,3.44348803921892e-289,2.05328735238551e-286,652.129549611881,"ENSMUSG00000038489.8","ENSMUSG00000038489","Polr2l"
2.33851704927212,5.36943340248748,46.664879915286,6.6494941940758e-289,3.84481814294425e-286,651.453008159385,"ENSMUSG00000022673.5","ENSMUSG00000022673","Mcm4"
-0.99644605194682,5.45878721906556,-46.6135879279402,1.71095141334196e-288,9.60195997587585e-286,650.523592913903,"ENSMUSG00000060992.9","ENSMUSG00000060992","Copz1"
-1.32284740219773,5.47758158693154,-46.4758679705682,2.16656070802712e-287,1.18114699628187e-284,647.986712559007,"ENSMUSG00000036299.5","ENSMUSG00000036299","BC031181"
-1.83805893668436,5.11982018865292,-46.4596098077816,2.92396674174309e-287,1.54978359442222e-284,647.689882665475,"ENSMUSG00000020444.19","ENSMUSG00000020444","Guk1"
-1.0394710199905,4.43875777120571,-46.4454726963532,3.79485765388328e-287,1.95701834847965e-284,647.434109266746,"ENSMUSG00000032126.16","ENSMUSG00000032126","Hmbs"
